+----------------------------------------------------------------------------+----------+--------------------+
|                                  Modules                                   | #Params  |    Param shape     |
|                   unet.up_blocks.0.resnets.2.norm1.bias                    |   1280   |       [1280]       |
|                  unet.up_blocks.0.resnets.2.conv1.weight                   | 11796480 | [1024, 1280, 3, 3] |
|                   unet.up_blocks.0.resnets.2.conv1.bias                    |   1024   |       [1024]       |
|              unet.up_blocks.0.resnets.2.time_emb_proj.weight               |  262144  |    [1024, 256]     |
|               unet.up_blocks.0.resnets.2.time_emb_proj.bias                |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.2.norm2.weight                   |   1024   |       [1024]       |
|                   unet.up_blocks.0.resnets.2.norm2.bias                    |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.2.conv2.weight                   | 9437184  | [1024, 1024, 3, 3] |
|                   unet.up_blocks.0.resnets.2.conv2.bias                    |   1024   |       [1024]       |
|              unet.up_blocks.0.resnets.2.conv_shortcut.weight               | 1310720  | [1024, 1280, 1, 1] |
|               unet.up_blocks.0.resnets.2.conv_shortcut.bias                |   1024   |       [1024]       |
|                 unet.up_blocks.0.upsamplers.0.conv.weight                  | 9437184  | [1024, 1024, 3, 3] |
|                  unet.up_blocks.0.upsamplers.0.conv.bias                   |   1024   |       [1024]       |
|                 unet.up_blocks.1.attentions.0.norm.weight                  |   256    |       [256]        |
|                  unet.up_blocks.1.attentions.0.norm.bias                   |   256    |       [256]        |
|                unet.up_blocks.1.attentions.0.proj_in.weight                |  65536   |  [256, 256, 1, 1]  |
|                 unet.up_blocks.1.attentions.0.proj_in.bias                 |   256    |       [256]        |
|      unet.up_blocks.1.attentions.0.transformer_blocks.0.norm1.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.0.transformer_blocks.0.norm1.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v.weight    |  65536   |     [256, 256]     |
|  unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight    |  32768   |     [256, 128]     |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight    |  32768   |     [256, 128]     |
|  unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.0.transformer_blocks.0.norm3.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.0.transformer_blocks.0.norm3.bias        |   256    |       [256]        |
|  unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj.weight   |  524288  |    [2048, 256]     |
|   unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj.bias    |   2048   |       [2048]       |
|     unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2.weight     |  262144  |    [256, 1024]     |
|      unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2.bias      |   256    |       [256]        |
|               unet.up_blocks.1.attentions.0.proj_out.weight                |  65536   |  [256, 256, 1, 1]  |
|                unet.up_blocks.1.attentions.0.proj_out.bias                 |   256    |       [256]        |
|                 unet.up_blocks.1.attentions.1.norm.weight                  |   256    |       [256]        |
|                  unet.up_blocks.1.attentions.1.norm.bias                   |   256    |       [256]        |
|                unet.up_blocks.1.attentions.1.proj_in.weight                |  65536   |  [256, 256, 1, 1]  |
|                 unet.up_blocks.1.attentions.1.proj_in.bias                 |   256    |       [256]        |
|      unet.up_blocks.1.attentions.1.transformer_blocks.0.norm1.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.1.transformer_blocks.0.norm1.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v.weight    |  65536   |     [256, 256]     |
|  unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.1.transformer_blocks.0.norm2.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.1.transformer_blocks.0.norm2.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight    |  32768   |     [256, 128]     |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight    |  32768   |     [256, 128]     |
|  unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.1.transformer_blocks.0.norm3.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.1.transformer_blocks.0.norm3.bias        |   256    |       [256]        |
|  unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj.weight   |  524288  |    [2048, 256]     |
|   unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj.bias    |   2048   |       [2048]       |
|     unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2.weight     |  262144  |    [256, 1024]     |
|      unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2.bias      |   256    |       [256]        |
|               unet.up_blocks.1.attentions.1.proj_out.weight                |  65536   |  [256, 256, 1, 1]  |
|                unet.up_blocks.1.attentions.1.proj_out.bias                 |   256    |       [256]        |
|                 unet.up_blocks.1.attentions.2.norm.weight                  |   256    |       [256]        |
|                  unet.up_blocks.1.attentions.2.norm.bias                   |   256    |       [256]        |
|                unet.up_blocks.1.attentions.2.proj_in.weight                |  65536   |  [256, 256, 1, 1]  |
|                 unet.up_blocks.1.attentions.2.proj_in.bias                 |   256    |       [256]        |
|      unet.up_blocks.1.attentions.2.transformer_blocks.0.norm1.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.2.transformer_blocks.0.norm1.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_v.weight    |  65536   |     [256, 256]     |
|  unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.2.transformer_blocks.0.norm2.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.2.transformer_blocks.0.norm2.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k.weight    |  32768   |     [256, 128]     |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight    |  32768   |     [256, 128]     |
|  unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.2.transformer_blocks.0.norm3.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.2.transformer_blocks.0.norm3.bias        |   256    |       [256]        |
|  unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.0.proj.weight   |  524288  |    [2048, 256]     |
|   unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.0.proj.bias    |   2048   |       [2048]       |
|     unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2.weight     |  262144  |    [256, 1024]     |
|      unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2.bias      |   256    |       [256]        |
|               unet.up_blocks.1.attentions.2.proj_out.weight                |  65536   |  [256, 256, 1, 1]  |
|                unet.up_blocks.1.attentions.2.proj_out.bias                 |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.0.norm1.weight                   |   1280   |       [1280]       |
|                   unet.up_blocks.1.resnets.0.norm1.bias                    |   1280   |       [1280]       |
|                  unet.up_blocks.1.resnets.0.conv1.weight                   | 2949120  | [256, 1280, 3, 3]  |
|                   unet.up_blocks.1.resnets.0.conv1.bias                    |   256    |       [256]        |
|              unet.up_blocks.1.resnets.0.time_emb_proj.weight               |  65536   |     [256, 256]     |
|               unet.up_blocks.1.resnets.0.time_emb_proj.bias                |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.0.norm2.weight                   |   256    |       [256]        |
|                   unet.up_blocks.1.resnets.0.norm2.bias                    |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.0.conv2.weight                   |  589824  |  [256, 256, 3, 3]  |
|                   unet.up_blocks.1.resnets.0.conv2.bias                    |   256    |       [256]        |
|              unet.up_blocks.1.resnets.0.conv_shortcut.weight               |  327680  | [256, 1280, 1, 1]  |
|               unet.up_blocks.1.resnets.0.conv_shortcut.bias                |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.1.norm1.weight                   |   512    |       [512]        |
|                   unet.up_blocks.1.resnets.1.norm1.bias                    |   512    |       [512]        |
|                  unet.up_blocks.1.resnets.1.conv1.weight                   | 1179648  |  [256, 512, 3, 3]  |
|                   unet.up_blocks.1.resnets.1.conv1.bias                    |   256    |       [256]        |
|              unet.up_blocks.1.resnets.1.time_emb_proj.weight               |  65536   |     [256, 256]     |
|               unet.up_blocks.1.resnets.1.time_emb_proj.bias                |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.1.norm2.weight                   |   256    |       [256]        |
|                   unet.up_blocks.1.resnets.1.norm2.bias                    |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.1.conv2.weight                   |  589824  |  [256, 256, 3, 3]  |
|                   unet.up_blocks.1.resnets.1.conv2.bias                    |   256    |       [256]        |
|              unet.up_blocks.1.resnets.1.conv_shortcut.weight               |  131072  |  [256, 512, 1, 1]  |
|               unet.up_blocks.1.resnets.1.conv_shortcut.bias                |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.2.norm1.weight                   |   320    |       [320]        |
|                   unet.up_blocks.1.resnets.2.norm1.bias                    |   320    |       [320]        |
|                  unet.up_blocks.1.resnets.2.conv1.weight                   |  737280  |  [256, 320, 3, 3]  |
|                   unet.up_blocks.1.resnets.2.conv1.bias                    |   256    |       [256]        |
|              unet.up_blocks.1.resnets.2.time_emb_proj.weight               |  65536   |     [256, 256]     |
|               unet.up_blocks.1.resnets.2.time_emb_proj.bias                |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.2.norm2.weight                   |   256    |       [256]        |
|                   unet.up_blocks.1.resnets.2.norm2.bias                    |   256    |       [256]        |
|                  unet.up_blocks.1.resnets.2.conv2.weight                   |  589824  |  [256, 256, 3, 3]  |
|                   unet.up_blocks.1.resnets.2.conv2.bias                    |   256    |       [256]        |
|              unet.up_blocks.1.resnets.2.conv_shortcut.weight               |  81920   |  [256, 320, 1, 1]  |
|               unet.up_blocks.1.resnets.2.conv_shortcut.bias                |   256    |       [256]        |
|                 unet.up_blocks.1.upsamplers.0.conv.weight                  |  589824  |  [256, 256, 3, 3]  |
|                  unet.up_blocks.1.upsamplers.0.conv.bias                   |   256    |       [256]        |
|                  unet.up_blocks.2.resnets.0.norm1.weight                   |   320    |       [320]        |
|                   unet.up_blocks.2.resnets.0.norm1.bias                    |   320    |       [320]        |
|                  unet.up_blocks.2.resnets.0.conv1.weight                   |  184320  |  [64, 320, 3, 3]   |
|                   unet.up_blocks.2.resnets.0.conv1.bias                    |    64    |        [64]        |
|              unet.up_blocks.2.resnets.0.time_emb_proj.weight               |  16384   |     [64, 256]      |
|               unet.up_blocks.2.resnets.0.time_emb_proj.bias                |    64    |        [64]        |
|                  unet.up_blocks.2.resnets.0.norm2.weight                   |    64    |        [64]        |
|                   unet.up_blocks.2.resnets.0.norm2.bias                    |    64    |        [64]        |
|                  unet.up_blocks.2.resnets.0.conv2.weight                   |  36864   |   [64, 64, 3, 3]   |
|                   unet.up_blocks.2.resnets.0.conv2.bias                    |    64    |        [64]        |
|              unet.up_blocks.2.resnets.0.conv_shortcut.weight               |  20480   |  [64, 320, 1, 1]   |
|               unet.up_blocks.2.resnets.0.conv_shortcut.bias                |    64    |        [64]        |
|                  unet.up_blocks.2.resnets.1.norm1.weight                   |   128    |       [128]        |
|                   unet.up_blocks.2.resnets.1.norm1.bias                    |   128    |       [128]        |
|                  unet.up_blocks.2.resnets.1.conv1.weight                   |  73728   |  [64, 128, 3, 3]   |
|                   unet.up_blocks.2.resnets.1.conv1.bias                    |    64    |        [64]        |
|              unet.up_blocks.2.resnets.1.time_emb_proj.weight               |  16384   |     [64, 256]      |
|               unet.up_blocks.2.resnets.1.time_emb_proj.bias                |    64    |        [64]        |
|                  unet.up_blocks.2.resnets.1.norm2.weight                   |    64    |        [64]        |
|                   unet.up_blocks.2.resnets.1.norm2.bias                    |    64    |        [64]        |
|                  unet.up_blocks.2.resnets.1.conv2.weight                   |  36864   |   [64, 64, 3, 3]   |
|                   unet.up_blocks.2.resnets.1.conv2.bias                    |    64    |        [64]        |
|              unet.up_blocks.2.resnets.1.conv_shortcut.weight               |   8192   |  [64, 128, 1, 1]   |
|               unet.up_blocks.2.resnets.1.conv_shortcut.bias                |    64    |        [64]        |
|                  unet.up_blocks.2.resnets.2.norm1.weight                   |   128    |       [128]        |
|                   unet.up_blocks.2.resnets.2.norm1.bias                    |   128    |       [128]        |
|                  unet.up_blocks.2.resnets.2.conv1.weight                   |  73728   |  [64, 128, 3, 3]   |
|                   unet.up_blocks.2.resnets.2.conv1.bias                    |    64    |        [64]        |
|              unet.up_blocks.2.resnets.2.time_emb_proj.weight               |  16384   |     [64, 256]      |
|               unet.up_blocks.2.resnets.2.time_emb_proj.bias                |    64    |        [64]        |
|                  unet.up_blocks.2.resnets.2.norm2.weight                   |    64    |        [64]        |
|                   unet.up_blocks.2.resnets.2.norm2.bias                    |    64    |        [64]        |
|                  unet.up_blocks.2.resnets.2.conv2.weight                   |  36864   |   [64, 64, 3, 3]   |
|                   unet.up_blocks.2.resnets.2.conv2.bias                    |    64    |        [64]        |
|              unet.up_blocks.2.resnets.2.conv_shortcut.weight               |   8192   |  [64, 128, 1, 1]   |
|               unet.up_blocks.2.resnets.2.conv_shortcut.bias                |    64    |        [64]        |
|                  unet.mid_block.attentions.0.norm.weight                   |   1024   |       [1024]       |
|                   unet.mid_block.attentions.0.norm.bias                    |   1024   |       [1024]       |
|                 unet.mid_block.attentions.0.proj_in.weight                 | 1048576  | [1024, 1024, 1, 1] |
|                  unet.mid_block.attentions.0.proj_in.bias                  |   1024   |       [1024]       |
|       unet.mid_block.attentions.0.transformer_blocks.0.norm1.weight        |   1024   |       [1024]       |
|        unet.mid_block.attentions.0.transformer_blocks.0.norm1.bias         |   1024   |       [1024]       |
|     unet.mid_block.attentions.0.transformer_blocks.0.attn1.to_q.weight     | 1048576  |    [1024, 1024]    |
|     unet.mid_block.attentions.0.transformer_blocks.0.attn1.to_k.weight     | 1048576  |    [1024, 1024]    |
|     unet.mid_block.attentions.0.transformer_blocks.0.attn1.to_v.weight     | 1048576  |    [1024, 1024]    |
|   unet.mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0.weight   | 1048576  |    [1024, 1024]    |
|    unet.mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0.bias    |   1024   |       [1024]       |
|       unet.mid_block.attentions.0.transformer_blocks.0.norm2.weight        |   1024   |       [1024]       |
|        unet.mid_block.attentions.0.transformer_blocks.0.norm2.bias         |   1024   |       [1024]       |
|     unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_q.weight     | 1048576  |    [1024, 1024]    |
|     unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_k.weight     |  131072  |    [1024, 128]     |
|     unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v.weight     |  131072  |    [1024, 128]     |
|   unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0.weight   | 1048576  |    [1024, 1024]    |
|    unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0.bias    |   1024   |       [1024]       |
|       unet.mid_block.attentions.0.transformer_blocks.0.norm3.weight        |   1024   |       [1024]       |
|        unet.mid_block.attentions.0.transformer_blocks.0.norm3.bias         |   1024   |       [1024]       |
|   unet.mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj.weight    | 8388608  |    [8192, 1024]    |
|    unet.mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj.bias     |   8192   |       [8192]       |
|      unet.mid_block.attentions.0.transformer_blocks.0.ff.net.2.weight      | 4194304  |    [1024, 4096]    |
|       unet.mid_block.attentions.0.transformer_blocks.0.ff.net.2.bias       |   1024   |       [1024]       |
|                unet.mid_block.attentions.0.proj_out.weight                 | 1048576  | [1024, 1024, 1, 1] |
|                 unet.mid_block.attentions.0.proj_out.bias                  |   1024   |       [1024]       |
|                   unet.mid_block.resnets.0.norm1.weight                    |   1024   |       [1024]       |
|                    unet.mid_block.resnets.0.norm1.bias                     |   1024   |       [1024]       |
|                   unet.mid_block.resnets.0.conv1.weight                    | 9437184  | [1024, 1024, 3, 3] |
|                    unet.mid_block.resnets.0.conv1.bias                     |   1024   |       [1024]       |
|               unet.mid_block.resnets.0.time_emb_proj.weight                |  262144  |    [1024, 256]     |
|                unet.mid_block.resnets.0.time_emb_proj.bias                 |   1024   |       [1024]       |
|                   unet.mid_block.resnets.0.norm2.weight                    |   1024   |       [1024]       |
|                    unet.mid_block.resnets.0.norm2.bias                     |   1024   |       [1024]       |
|                   unet.mid_block.resnets.0.conv2.weight                    | 9437184  | [1024, 1024, 3, 3] |
|                    unet.mid_block.resnets.0.conv2.bias                     |   1024   |       [1024]       |
|                   unet.mid_block.resnets.1.norm1.weight                    |   1024   |       [1024]       |
|                    unet.mid_block.resnets.1.norm1.bias                     |   1024   |       [1024]       |
|                   unet.mid_block.resnets.1.conv1.weight                    | 9437184  | [1024, 1024, 3, 3] |
|                    unet.mid_block.resnets.1.conv1.bias                     |   1024   |       [1024]       |
|               unet.mid_block.resnets.1.time_emb_proj.weight                |  262144  |    [1024, 256]     |
|                unet.mid_block.resnets.1.time_emb_proj.bias                 |   1024   |       [1024]       |
|                   unet.mid_block.resnets.1.norm2.weight                    |   1024   |       [1024]       |
|                    unet.mid_block.resnets.1.norm2.bias                     |   1024   |       [1024]       |
|                   unet.mid_block.resnets.1.conv2.weight                    | 9437184  | [1024, 1024, 3, 3] |
|                    unet.mid_block.resnets.1.conv2.bias                     |   1024   |       [1024]       |
|                         unet.conv_norm_out.weight                          |    64    |        [64]        |
|                          unet.conv_norm_out.bias                           |    64    |        [64]        |
|                            unet.conv_out.weight                            |   1728   |   [3, 64, 3, 3]    |
|                             unet.conv_out.bias                             |    3     |        [3]         |
+----------------------------------------------------------------------------+----------+--------------------+
Total Params: 309343363


+----------------------------------------------------------------------------+----------+--------------------+
|                                  Modules                                   | #Params  |    Param shape     |
+----------------------------------------------------------------------------+----------+--------------------+
|                            unet.conv_in.weight                             |   1728   |   [64, 3, 3, 3]    |
|                             unet.conv_in.bias                              |    64    |        [64]        |
|                    unet.time_embedding.linear_1.weight                     |  16384   |     [256, 64]      |
|                     unet.time_embedding.linear_1.bias                      |   256    |       [256]        |
|                    unet.time_embedding.linear_2.weight                     |  65536   |     [256, 256]     |
|                     unet.time_embedding.linear_2.bias                      |   256    |       [256]        |
|                        unet.encoder_hid_proj.weight                        |  65536   |     [128, 512]     |
|                         unet.encoder_hid_proj.bias                         |   128    |       [128]        |
|                 unet.down_blocks.0.resnets.0.norm1.weight                  |    64    |        [64]        |
|                  unet.down_blocks.0.resnets.0.norm1.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.0.conv1.weight                  |  36864   |   [64, 64, 3, 3]   |
|                  unet.down_blocks.0.resnets.0.conv1.bias                   |    64    |        [64]        |
|             unet.down_blocks.0.resnets.0.time_emb_proj.weight              |  16384   |     [64, 256]      |
|              unet.down_blocks.0.resnets.0.time_emb_proj.bias               |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.0.norm2.weight                  |    64    |        [64]        |
|                  unet.down_blocks.0.resnets.0.norm2.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.0.conv2.weight                  |  36864   |   [64, 64, 3, 3]   |
|                  unet.down_blocks.0.resnets.0.conv2.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.1.norm1.weight                  |    64    |        [64]        |
|                  unet.down_blocks.0.resnets.1.norm1.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.1.conv1.weight                  |  36864   |   [64, 64, 3, 3]   |
|                  unet.down_blocks.0.resnets.1.conv1.bias                   |    64    |        [64]        |
|             unet.down_blocks.0.resnets.1.time_emb_proj.weight              |  16384   |     [64, 256]      |
|              unet.down_blocks.0.resnets.1.time_emb_proj.bias               |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.1.norm2.weight                  |    64    |        [64]        |
|                  unet.down_blocks.0.resnets.1.norm2.bias                   |    64    |        [64]        |
|                 unet.down_blocks.0.resnets.1.conv2.weight                  |  36864   |   [64, 64, 3, 3]   |
|                  unet.down_blocks.0.resnets.1.conv2.bias                   |    64    |        [64]        |
|               unet.down_blocks.0.downsamplers.0.conv.weight                |  36864   |   [64, 64, 3, 3]   |
|                unet.down_blocks.0.downsamplers.0.conv.bias                 |    64    |        [64]        |
|     unet.down_blocks.1.attentions.0.transformer_blocks.0.norm1.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.0.transformer_blocks.0.norm1.bias       |   256    |       [256]        |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v.weight   |  65536   |     [256, 256]     |
| unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0.weight |  65536   |     [256, 256]     |
|  unet.down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0.bias  |   256    |       [256]        |
|     unet.down_blocks.1.attentions.0.transformer_blocks.0.norm2.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.0.transformer_blocks.0.norm2.bias       |   256    |       [256]        |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight   |  32768   |     [256, 128]     |
|   unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight   |  32768   |     [256, 128]     |
| unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.weight |  65536   |     [256, 256]     |
|  unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.bias  |   256    |       [256]        |
|     unet.down_blocks.1.attentions.0.transformer_blocks.0.norm3.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.0.transformer_blocks.0.norm3.bias       |   256    |       [256]        |
| unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj.weight  |  524288  |    [2048, 256]     |
|  unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj.bias   |   2048   |       [2048]       |
|    unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2.weight    |  262144  |    [256, 1024]     |
|     unet.down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2.bias     |   256    |       [256]        |
|              unet.down_blocks.1.attentions.0.proj_out.weight               |  65536   |     [256, 256]     |
|               unet.down_blocks.1.attentions.0.proj_out.bias                |   256    |       [256]        |
|           unet.down_blocks.1.attentions.0.pos_embed.proj.weight            |  65536   |  [256, 256, 1, 1]  |
|            unet.down_blocks.1.attentions.0.pos_embed.proj.bias             |   256    |       [256]        |
|              unet.down_blocks.1.attentions.0.norm_out.weight               |   256    |       [256]        |
|               unet.down_blocks.1.attentions.0.norm_out.bias                |   256    |       [256]        |
|     unet.down_blocks.1.attentions.1.transformer_blocks.0.norm1.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.1.transformer_blocks.0.norm1.bias       |   256    |       [256]        |
|   unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v.weight   |  65536   |     [256, 256]     |
| unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0.weight |  65536   |     [256, 256]     |
|  unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0.bias  |   256    |       [256]        |
|     unet.down_blocks.1.attentions.1.transformer_blocks.0.norm2.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.1.transformer_blocks.0.norm2.bias       |   256    |       [256]        |
|   unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q.weight   |  65536   |     [256, 256]     |
|   unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight   |  32768   |     [256, 128]     |
|   unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight   |  32768   |     [256, 128]     |
| unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.weight |  65536   |     [256, 256]     |
|  unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.bias  |   256    |       [256]        |
|     unet.down_blocks.1.attentions.1.transformer_blocks.0.norm3.weight      |   256    |       [256]        |
|      unet.down_blocks.1.attentions.1.transformer_blocks.0.norm3.bias       |   256    |       [256]        |
| unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj.weight  |  524288  |    [2048, 256]     |
|  unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj.bias   |   2048   |       [2048]       |
|    unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2.weight    |  262144  |    [256, 1024]     |
|     unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2.bias     |   256    |       [256]        |
|              unet.down_blocks.1.attentions.1.proj_out.weight               |  65536   |     [256, 256]     |
|               unet.down_blocks.1.attentions.1.proj_out.bias                |   256    |       [256]        |
|           unet.down_blocks.1.attentions.1.pos_embed.proj.weight            |  65536   |  [256, 256, 1, 1]  |
